[2025-10-12 13:42:34.413] [INIT].... → Crawl4AI 0.7.4 
[2025-10-12 13:42:38.664] [FETCH]... ↓ https://ai.pydantic.dev/                                                                             | ✓ | ⏱: 4.22s 
[2025-10-12 13:45:16.653] [FETCH]... ↓ https://ai.pydantic.dev/models/cohere/                                                               | ✓ | ⏱: 3.20s 
[2025-10-12 13:45:16.762] [SCRAPE].. ◆ https://ai.pydantic.dev/models/cohere/                                                               | ✓ | ⏱: 0.09s 
[2025-10-12 13:45:16.779] [COMPLETE] ● https://ai.pydantic.dev/models/cohere/                                                               | ✓ | ⏱: 3.33s 
[2025-10-12 13:45:16.833] [FETCH]... ↓ https://ai.pydantic.dev/mcp/server/                                                                  | ✓ | ⏱: 3.39s 
[2025-10-12 13:45:16.896] [SCRAPE].. ◆ https://ai.pydantic.dev/mcp/server/                                                                  | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:16.904] [COMPLETE] ● https://ai.pydantic.dev/mcp/server/                                                                  | ✓ | ⏱: 3.47s 
[2025-10-12 13:45:17.099] [FETCH]... ↓ https://ai.pydantic.dev/mcp/client/                                                                  | ✓ | ⏱: 3.66s 
[2025-10-12 13:45:17.191] [SCRAPE].. ◆ https://ai.pydantic.dev/mcp/client/                                                                  | ✓ | ⏱: 0.09s 
[2025-10-12 13:45:17.199] [COMPLETE] ● https://ai.pydantic.dev/mcp/client/                                                                  | ✓ | ⏱: 3.77s 
[2025-10-12 13:45:18.415] [FETCH]... ↓ https://ai.pydantic.dev/models/groq/                                                                 | ✓ | ⏱: 1.20s 
[2025-10-12 13:45:18.481] [SCRAPE].. ◆ https://ai.pydantic.dev/models/groq/                                                                 | ✓ | ⏱: 0.06s 
[2025-10-12 13:45:18.489] [COMPLETE] ● https://ai.pydantic.dev/models/groq/                                                                 | ✓ | ⏱: 1.29s 
[2025-10-12 13:45:18.713] [FETCH]... ↓ https://ai.pydantic.dev/models/overview/                                                             | ✓ | ⏱: 1.49s 
[2025-10-12 13:45:18.819] [SCRAPE].. ◆ https://ai.pydantic.dev/models/overview/                                                             | ✓ | ⏱: 0.11s 
[2025-10-12 13:45:18.827] [COMPLETE] ● https://ai.pydantic.dev/models/overview/                                                             | ✓ | ⏱: 1.61s 
[2025-10-12 13:45:19.251] [FETCH]... ↓ https://ai.pydantic.dev/models/mistral/                                                              | ✓ | ⏱: 2.03s 
[2025-10-12 13:45:19.322] [SCRAPE].. ◆ https://ai.pydantic.dev/models/mistral/                                                              | ✓ | ⏱: 0.07s 
[2025-10-12 13:45:19.330] [COMPLETE] ● https://ai.pydantic.dev/models/mistral/                                                              | ✓ | ⏱: 2.12s 
[2025-10-12 13:45:19.334] [FETCH]... ↓ https://ai.pydantic.dev/models/openai/                                                               | ✓ | ⏱: 2.12s 
[2025-10-12 13:45:19.417] [SCRAPE].. ◆ https://ai.pydantic.dev/models/openai/                                                               | ✓ | ⏱: 0.08s 
[2025-10-12 13:45:19.417] [COMPLETE] ● https://ai.pydantic.dev/models/openai/                                                               | ✓ | ⏱: 2.21s 
[2025-10-12 13:45:19.621] [FETCH]... ↓ https://ai.pydantic.dev/models/huggingface/                                                          | ✓ | ⏱: 2.41s 
[2025-10-12 13:45:19.672] [SCRAPE].. ◆ https://ai.pydantic.dev/models/huggingface/                                                          | ✓ | ⏱: 0.04s 
[2025-10-12 13:45:19.672] [COMPLETE] ● https://ai.pydantic.dev/models/huggingface/                                                          | ✓ | ⏱: 2.47s 
